hx, hy
-0.09, 0.62
-0.09, 0.62
-0.09, 0.62
-0.09, 0.62
-0.09, 0.62
-0.09, 0.61
-0.09, 0.61
-0.09, 0.61
-0.09, 0.61
-0.09, 0.61
-0.09, 0.61
-0.10, 0.59
-0.10, 0.59
-0.10, 0.59
-0.10, 0.59
-0.10, 0.59
-0.10, 0.59
-0.10, 0.58
-0.10, 0.58
-0.10, 0.58
-0.10, 0.58
-0.10, 0.58
-0.10, 0.58
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.10, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.11, 0.57
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.11, 0.54
-0.10, 0.52
-0.10, 0.52
-0.10, 0.52
-0.10, 0.52
-0.10, 0.52
-0.10, 0.52
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.50
-0.10, 0.50
-0.10, 0.50
-0.10, 0.50
-0.10, 0.50
-0.10, 0.50
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.07, 0.47
-0.07, 0.47
-0.07, 0.47
-0.07, 0.47
-0.07, 0.47
-0.07, 0.47
-0.05, 0.46
-0.05, 0.46
-0.05, 0.46
-0.05, 0.46
-0.05, 0.46
-0.05, 0.46
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.02, 0.44
-0.02, 0.44
-0.02, 0.44
-0.02, 0.44
-0.02, 0.44
-0.02, 0.44
-0.01, 0.43
-0.01, 0.43
-0.01, 0.43
-0.01, 0.43
-0.01, 0.43
-0.01, 0.43
-0.00, 0.44
-0.00, 0.44
-0.00, 0.44
-0.00, 0.44
-0.00, 0.44
-0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.43
0.02, 0.43
0.02, 0.43
0.02, 0.43
0.02, 0.43
0.02, 0.43
0.02, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.06, 0.43
0.06, 0.43
0.06, 0.43
0.06, 0.43
0.06, 0.43
0.06, 0.43
0.06, 0.43
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.08, 0.44
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.46
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.12, 0.46
0.12, 0.46
0.12, 0.46
0.12, 0.46
0.12, 0.46
0.12, 0.46
0.13, 0.46
0.13, 0.46
0.13, 0.46
0.13, 0.46
0.13, 0.46
0.13, 0.46
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
