hx, hy
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.01, 0.03
-0.00, 0.04
-0.00, 0.04
-0.00, 0.04
-0.00, 0.04
-0.00, 0.04
-0.00, 0.04
-0.00, 0.06
-0.00, 0.06
-0.00, 0.06
-0.00, 0.06
-0.00, 0.06
-0.00, 0.06
0.00, 0.07
0.00, 0.07
0.00, 0.07
0.00, 0.07
0.00, 0.07
0.00, 0.07
0.01, 0.09
0.01, 0.09
0.01, 0.09
0.01, 0.09
0.01, 0.09
0.01, 0.09
0.01, 0.09
0.01, 0.10
0.01, 0.10
0.01, 0.10
0.01, 0.10
0.01, 0.10
0.01, 0.10
0.01, 0.11
0.01, 0.11
0.01, 0.11
0.01, 0.11
0.01, 0.11
0.01, 0.11
0.01, 0.11
0.01, 0.12
0.01, 0.12
0.01, 0.12
0.01, 0.12
0.01, 0.12
0.01, 0.12
0.00, 0.14
0.00, 0.14
0.00, 0.14
0.00, 0.14
0.00, 0.14
0.00, 0.14
0.00, 0.14
-0.01, 0.16
-0.01, 0.16
-0.01, 0.16
-0.01, 0.16
-0.01, 0.16
-0.01, 0.16
-0.02, 0.17
-0.02, 0.17
-0.02, 0.17
-0.02, 0.17
-0.02, 0.17
-0.02, 0.17
-0.03, 0.19
-0.03, 0.19
-0.03, 0.19
-0.03, 0.19
-0.03, 0.19
-0.03, 0.19
-0.05, 0.21
-0.05, 0.21
-0.05, 0.21
-0.05, 0.21
-0.05, 0.21
-0.05, 0.21
-0.06, 0.22
-0.06, 0.22
-0.06, 0.22
-0.06, 0.22
-0.06, 0.22
-0.06, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.10, 0.23
-0.10, 0.23
-0.10, 0.23
-0.10, 0.23
-0.10, 0.23
-0.10, 0.23
-0.12, 0.24
-0.12, 0.24
-0.12, 0.24
-0.12, 0.24
-0.12, 0.24
-0.12, 0.24
-0.14, 0.24
-0.14, 0.24
-0.14, 0.24
-0.14, 0.24
-0.14, 0.24
-0.14, 0.24
-0.16, 0.23
-0.16, 0.23
-0.16, 0.23
-0.16, 0.23
-0.16, 0.23
-0.16, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.23, 0.21
-0.23, 0.21
-0.23, 0.21
-0.23, 0.21
-0.23, 0.21
-0.23, 0.21
-0.24, 0.20
-0.24, 0.20
-0.24, 0.20
-0.24, 0.20
-0.24, 0.20
-0.24, 0.20
-0.25, 0.19
-0.25, 0.19
-0.25, 0.19
-0.25, 0.19
-0.25, 0.19
-0.25, 0.19
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.29, 0.08
-0.30, 0.08
-0.30, 0.08
-0.30, 0.08
-0.30, 0.08
-0.30, 0.08
-0.30, 0.08
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.30, 0.10
-0.30, 0.10
-0.30, 0.10
-0.30, 0.10
-0.30, 0.10
-0.30, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.10
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.29, 0.13
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.29, 0.14
-0.29, 0.14
-0.29, 0.14
-0.29, 0.14
-0.29, 0.14
-0.29, 0.14
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.28, 0.15
-0.30, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.28, 0.16
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.18
-0.27, 0.18
-0.27, 0.18
-0.27, 0.18
-0.27, 0.18
-0.27, 0.18
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
