hx, hy
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.14, 0.51
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.53
0.15, 0.53
0.15, 0.53
0.15, 0.53
0.15, 0.53
0.15, 0.53
0.15, 0.53
0.16, 0.54
0.16, 0.54
0.16, 0.54
0.16, 0.54
0.16, 0.54
0.16, 0.54
0.16, 0.56
0.16, 0.56
0.16, 0.56
0.16, 0.56
0.16, 0.56
0.16, 0.56
0.16, 0.56
0.17, 0.57
0.17, 0.57
0.17, 0.57
0.17, 0.57
0.17, 0.57
0.17, 0.57
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.62
0.17, 0.62
0.17, 0.62
0.17, 0.62
0.17, 0.62
0.17, 0.62
0.17, 0.62
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.15, 0.64
0.15, 0.64
0.15, 0.64
0.15, 0.64
0.15, 0.64
0.15, 0.64
0.14, 0.66
0.14, 0.66
0.14, 0.66
0.14, 0.66
0.14, 0.66
0.14, 0.66
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.70
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.07, 0.71
0.07, 0.71
0.07, 0.71
0.07, 0.71
0.07, 0.71
0.07, 0.71
0.07, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.71
0.04, 0.72
0.04, 0.72
0.04, 0.72
0.04, 0.72
0.04, 0.72
0.04, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.05, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.06, 0.72
0.07, 0.72
0.07, 0.72
0.07, 0.72
0.07, 0.72
0.07, 0.72
0.07, 0.72
0.07, 0.72
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.09, 0.71
0.11, 0.70
0.11, 0.70
0.11, 0.70
0.11, 0.70
0.11, 0.70
0.11, 0.70
0.11, 0.70
0.12, 0.69
0.12, 0.69
0.12, 0.69
0.12, 0.69
0.12, 0.69
0.12, 0.69
0.13, 0.69
0.13, 0.69
0.13, 0.69
0.13, 0.69
0.13, 0.69
0.13, 0.69
0.13, 0.69
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.16, 0.64
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.61
0.17, 0.61
0.17, 0.61
0.17, 0.61
0.17, 0.61
0.17, 0.61
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.60
0.17, 0.59
0.17, 0.59
0.17, 0.59
0.17, 0.59
0.17, 0.59
0.17, 0.59
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.58
0.17, 0.56
0.17, 0.56
0.17, 0.56
0.17, 0.56
0.17, 0.56
0.17, 0.56
0.17, 0.55
0.17, 0.55
0.17, 0.55
0.17, 0.55
0.17, 0.55
0.17, 0.55
0.17, 0.55
0.17, 0.54
0.17, 0.54
0.17, 0.54
0.17, 0.54
0.17, 0.54
0.17, 0.54
0.16, 0.53
0.16, 0.53
0.16, 0.53
0.16, 0.53
0.16, 0.53
0.16, 0.53
0.16, 0.53
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.16, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.52
0.15, 0.51
0.15, 0.51
0.15, 0.51
0.15, 0.51
0.15, 0.51
0.15, 0.51
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.14, 0.50
0.13, 0.49
0.13, 0.49
0.13, 0.49
0.13, 0.49
0.13, 0.49
0.13, 0.49
0.13, 0.49
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.11, 0.47
0.11, 0.47
0.11, 0.47
0.11, 0.47
0.11, 0.47
0.11, 0.47
0.11, 0.47
0.09, 0.46
0.09, 0.46
0.09, 0.46
0.09, 0.46
0.09, 0.46
0.09, 0.46
0.08, 0.45
0.08, 0.45
0.08, 0.45
0.08, 0.45
0.08, 0.45
0.08, 0.45
0.08, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.05, 0.44
0.05, 0.44
0.05, 0.44
0.05, 0.44
0.05, 0.44
0.05, 0.44
0.05, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.45
0.03, 0.45
0.03, 0.45
0.03, 0.45
0.03, 0.45
0.03, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
0.01, 0.44
